Updated On,State,Total Doses Administered,18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
16-01-2021,India,48276,,,,23757,24517,2,48276
17-01-2021,India,58604,,,,27348,31252,4,58604
18-01-2021,India,99449,,,,41361,58083,5,99449
19-01-2021,India,195525,,,,81901,113613,11,195525
20-01-2021,India,251280,,,,98111,153145,24,251280
21-01-2021,India,365965,,,,132784,233143,38,365965
22-01-2021,India,549381,,,,193899,355402,80,549381
23-01-2021,India,759008,,,,267856,491049,103,759008
24-01-2021,India,835058,,,,296283,538647,128,835058
25-01-2021,India,1277104,,,,444137,832766,201,1277104
26-01-2021,India,1293784,,,,449119,844448,217,1293784
27-01-2021,India,1726490,,,,586081,1140137,272,1726490
28-01-2021,India,2295491,,,,771229,1523939,323,2295491
29-01-2021,India,2814803,,,,939069,1875368,366,2814803
30-01-2021,India,3067736,,,,1022380,2044950,406,3067736
31-01-2021,India,3127107,,,,1061307,2065391,409,3127107
01-02-2021,India,3350265,,,,1152344,2197431,490,3350265
02-02-2021,India,3527971,,,,1218507,2308898,566,3527971
03-02-2021,India,3825835,,,,1324273,2500887,675,3825835
04-02-2021,India,4314304,,,,1504527,2809042,735,4314304
05-02-2021,India,4765924,,,,1710466,3054631,827,4765924
06-02-2021,India,5111827,,,,1896705,3214244,878,5111827
07-02-2021,India,5168099,,,,1928947,3238273,879,5168099
08-02-2021,India,5615499,,,,2211020,3403576,903,5615499
09-02-2021,India,6002474,,,,2458329,3543208,937,6002474
10-02-2021,India,6462270,,,,2785194,3676114,962,6462270
11-02-2021,India,6958553,,,,3153649,3803908,996,6958553
12-02-2021,India,7423817,,,,3504429,3918381,1007,7423817
13-02-2021,India,7708211,,,,3684053,4002279,1020,7687352
14-02-2021,India,7732278,,,,3699535,4009812,1020,7710367
15-02-2021,India,8253651,,,,3925723,4184377,1062,8111162
16-02-2021,India,8577226,,,,4044967,4291548,1085,8337600
17-02-2021,India,9023239,,,,4271486,4432078,1134,8704698
18-02-2021,India,9338267,,,,4509554,4351815,1122,8862491
19-02-2021,India,10241508,,,,4820055,4702310,1202,9523567
20-02-2021,India,10619113,,,,4966750,4766532,1223,9734505
21-02-2021,India,10651012,,,,4982068,4773924,1225,9757217
22-02-2021,India,11243679,,,,5226538,4841511,1214,10069263
23-02-2021,India,11597768,,,,5389434,4897627,1232,10288293
24-02-2021,India,12042958,,,,5558978,4957351,1239,10517568
25-02-2021,India,12819074,,,,5799474,5045426,1292,10846192
26-02-2021,India,13560932,,,,6008758,5131299,1318,11141375
27-02-2021,India,13560983,,,,6008785,5131323,1318,11141426
28-02-2021,India,13561208,,,,6008960,5131373,1318,11141651
01-03-2021,India,13561208,,,,6008960,5131373,1318,11141651
02-03-2021,India,14533954,,,,6462436,5422470,1414,11886320
03-03-2021,India,15383883,,,,6859318,5692550,1458,12553326
04-03-2021,India,16535703,,,,7346850,6045211,1477,13393538
05-03-2021,India,17871673,,,,7924084,6490255,1573,14415912
06-03-2021,India,19170828,,,,8488627,6948195,1673,15438495
07-03-2021,India,19288666,,,,8545982,6993867,1680,15541529
08-03-2021,India,21038500,,,,9298005,7676312,1821,16976138
09-03-2021,India,18360243,,,,10044921,8313353,1967,18360243
10-03-2021,India,19538547,,,,10707385,8829091,2069,19538547
11-03-2021,India,19953987,,,,10937930,9013952,2103,19953987
12-03-2021,India,21772159,,,,11974143,9795767,2247,21772159
13-03-2021,India,23159604,,,,12747867,10409393,2342,23159604
14-03-2021,India,23317750,,,,12832126,10483269,2353,23317750
15-03-2021,India,25618250,,,,14090723,11524956,2569,25618250
16-03-2021,India,31870745,7822654,8321177,9549294,13993527,11713149,2581,25709257
17-03-2021,India,36496020,7949980,9106642,12938115,16266085,13742026,3217,30011328
18-03-2021,India,38770404,8086204,9587964,14261942,17311577,14637915,3443,31952935
19-03-2021,India,41309219,8219288,10165734,15826268,18492473,15732206,3692,34228371
20-03-2021,India,43877868,8358591,10766621,17426476,19688923,16876137,3928,36568988
21-03-2021,India,44645372,8392363,10969933,17923778,20053560,17245870,4028,37303458
22-03-2021,India,47204633,8514176,11542500,19538350,21244939,18363361,4314,39612614
23-03-2021,India,49973152,8657263,12235178,21238556,22532413,19611896,4566,42148875
24-03-2021,India,52216237,8770039,12809134,22652955,23602891,20642500,4800,44250191
25-03-2021,India,54589220,8895838,13438961,24101658,24744845,21704739,5116,46454700
26-03-2021,India,57021164,9030708,14142017,25558079,25911744,22832194,5375,48749313
27-03-2021,India,59235436,9170702,14835024,26840911,26976551,23883153,5612,50865316
28-03-2021,India,59557120,9191854,14951629,27017385,27137004,24036939,5644,51179587
29-03-2021,India,60183064,9232163,15144058,27379282,27427546,24341025,5718,51774289
30-03-2021,India,61990242,9335310,15669710,28405395,28257441,25165987,5928,53429356
31-03-2021,India,63935590,9451326,16264001,29454352,29151242,26031409,6152,55188803
01-04-2021,India,66361722,9557988,17615494,30250716,30321468,27115615,6383,57443466
02-04-2021,India,70090836,9722696,19839695,31354874,32126426,28803529,6798,60936753
03-04-2021,India,73112119,9872239,21613929,32237904,33577406,30159173,7121,63743700
04-04-2021,India,76405697,9981005,23681718,33156019,35165269,31665721,7514,66838504
05-04-2021,India,79439889,9988573,25457649,34154208,36559511,33052869,7854,69620234
06-04-2021,India,82065337,9994341,27028827,34992622,37772299,34255180,8161,72035640
07-04-2021,India,87100627,10005564,30065901,36580444,40110598,36552499,8715,76671812
08-04-2021,India,91881530,10017087,32914036,38047027,42273620,38715200,9279,80998099
09-04-2021,India,95583419,10050594,35088992,39137263,43929844,40357259,9744,84296847
10-04-2021,India,99069354,10115743,37138666,40137437,45508111,41893575,10186,87411872
11-04-2021,India,102000401,10150663,38924746,41016044,46895781,43205152,10595,90111528
12-04-2021,India,105970539,10214478,41124841,42200133,48669828,44878560,11199,93559587
13-04-2021,India,108598289,10261853,42580769,42960830,49885738,45926378,11498,95823614
14-04-2021,India,111913288,10329252,44385712,43968484,51361929,47329847,11920,98703696
15-04-2021,India,114598026,10393324,45715162,44724878,52488916,48352489,12266,100853671
16-04-2021,India,117305344,10469609,46998499,45438828,53575244,49339504,12548,102927296
17-04-2021,India,119971369,10546237,48281098,46102623,54647827,50289664,12918,104950409
18-04-2021,India,121207098,10573998,48885888,46416081,55151208,50732172,13050,105896430
19-04-2021,India,124457162,10717276,50242630,47198108,56358692,51806475,13407,108178574
20-04-2021,India,127428887,10827001,51441470,47876178,57420010,52731510,13714,110165234
21-04-2021,India,129646105,10889235,52371179,48391750,58217380,53441979,14002,111673361
22-04-2021,India,132754608,10972801,53528676,49056017,59214377,54355513,14379,113584269
23-04-2021,India,135658324,11075950,54681402,49673372,60208977,55237448,14777,115461202
24-04-2021,India,138185956,11161742,55725179,50185235,61078797,56011474,15072,117105343
25-04-2021,India,139185173,11194950,56163123,50403597,61442119,56337692,15197,117795008
26-04-2021,India,142524947,11300300,57436912,51108802,62534884,57335805,15563,119886252
27-04-2021,India,144879233,14453548,55220908,51567636,63266613,57980903,15771,121263287
28-04-2021,India,147053392,14557937,55978822,51980128,63938524,58583701,15954,122538179
29-04-2021,India,149268772,14666103,56743187,52384617,64611787,59183960,16161,123811908
30-04-2021,India,151998107,14819208,57676548,52862810,65445771,59914751,16430,125376952
01-05-2021,India,153626325,14999469,58198124,53112963,65972485,60339903,16582,126328970
02-05-2021,India,154211511,15057167,58438144,53191783,66183753,60503747,16651,126704151
03-05-2021,India,156082136,15352120,58901132,53426355,66737774,60942039,16862,127696675
04-05-2021,India,157750752,15689305,59299040,53622284,67265833,61344881,17205,128627919
05-05-2021,India,159931238,16036053,59800123,53877151,67881167,61832097,17377,129730641
06-05-2021,India,162603603,16430428,60403154,54207909,68616643,62424602,17645,131058890
07-05-2021,India,165190000,16856986,60927081,54493332,69304346,62972623,17858,132294827
08-05-2021,India,167493857,17255291,61372739,54720932,69899266,63449164,18052,133366482
09-05-2021,India,168304868,17539440,61510977,54786708,70186220,63650307,18149,133854676
10-05-2021,India,171098918,18167977,61966293,55038117,70948079,64225501,18433,135192013
11-05-2021,India,173862643,18768175,62460166,55307756,71722365,64816275,18705,136557345
12-05-2021,India,176045577,19307387,62926016,55549219,72431855,65354414,18976,137805245
13-05-2021,India,178361846,19863113,63401077,55799375,73161834,65906538,19218,139087590
14-05-2021,India,179646413,20255885,63656217,55924598,73607113,66234957,19392,139861462
15-05-2021,India,181544536,20902588,64076941,56126114,74324379,66787921,19812,141132112
16-05-2021,India,182251006,21360117,64200432,56176752,74693401,67050966,19968,141764335
17-05-2021,India,183817204,22103586,64615446,56342950,75461311,67608590,20317,143090218
18-05-2021,India,185191602,22710882,65021417,56508521,76142110,68107465,20625,144270200
19-05-2021,India,186410600,23325439,65340955,56636839,76761977,68550747,20882,145333606
20-05-2021,India,187886885,24095416,65709875,56787668,77512357,69091006,21289,146624652
21-05-2021,India,189344105,24815544,66109139,56936352,78248902,69623495,21579,147893976
22-05-2021,India,190936859,25540064,66609184,57119494,79056922,70224054,21888,149302864
23-05-2021,India,191877460,26159678,66797754,57188219,79574984,70583303,22121,150180408
24-05-2021,India,194313920,27500303,67442972,57459394,80889623,71526736,22685,152439044
25-05-2021,India,196463495,28655080,68006383,57685358,82032580,72328742,23142,154384464
26-05-2021,India,198425615,29673387,68568469,57908741,83084097,73082037,23507,156189641
27-05-2021,India,201438120,31096243,69538125,58331056,84683042,74299145,24172,159006359
28-05-2021,India,204617572,32704761,70491958,58711772,86374510,75552353,24850,161951713
29-05-2021,India,207796464,34394210,71322705,59041286,88027641,76750999,25455,164804095
30-05-2021,India,208907723,35054344,71584500,59137269,88619604,77177776,25624,165823004
31-05-2021,India,211778491,36494965,72388059,59461062,90095606,78271582,26337,168393525
01-06-2021,India,214314522,37657598,73158983,59772400,91381749,79231870,26793,170640412
02-06-2021,India,216858197,38998815,73851872,60041595,92705952,80212651,27347,172945950
03-06-2021,India,219831571,40649116,74618017,60353715,94288015,81361633,27986,175677634
04-06-2021,India,223642281,42587253,75746331,60810517,96289872,82885972,29493,179205337
05-06-2021,India,227162503,44490432,76694765,61200972,98143570,84277549,30229,182451348
06-06-2021,India,228624578,45391190,77035519,61331191,98907905,84886553,30500,183824958
07-06-2021,India,232063488,47233720,77930082,61699177,100656406,86246094,31271,186933771
08-06-2021,India,234952618,48781429,78645889,62001788,102100803,87370490,31833,189503126
09-06-2021,India,238440129,50952882,79344582,62293642,103888483,88748112,32704,192669299
10-06-2021,India,241846863,53072899,80018155,62574015,105607170,90106724,33582,195747476
11-06-2021,India,245411955,55307867,80715943,62867396,107385721,91557487,34386,198977594
12-06-2021,India,249033094,57472406,81467278,63177391,109174763,92997290,35130,202207183
13-06-2021,India,250656362,58561036,81756122,63296269,109979462,93690273,35396,203705131
14-06-2021,India,254653040,60913444,82600503,63665384,111868784,95369557,36100,207274441
15-06-2021,India,257605528,62448482,83290805,63979181,113266182,96513504,36753,209816439
16-06-2021,India,261118468,64643068,83939373,64262201,114978703,97929255,37394,212945352
17-06-2021,India,264537245,66811954,84514167,64514699,116630688,99275854,38066,215944608
18-06-2021,India,267951571,68997968,85086167,64765494,118293011,100624989,38863,218956863
19-06-2021,India,271833642,71342757,85786352,65076837,120139375,102137801,39721,222316897
20-06-2021,India,275018693,73042655,86653713,65402486,121366817,103804672,40219,225211708
21-06-2021,India,283891764,79130988,88034483,66002905,125704054,107542051,42702,233288807
22-06-2021,India,289961746,83190167,88947171,66423283,128567271,110074369,43876,238685516
23-06-2021,India,296892521,88014595,89941914,66858838,131919150,112980429,45301,244944880
24-06-2021,India,303426850,92243148,90968877,67310981,134941971,115668447,46462,250656880
16-03-2021,Andaman and Nicobar Islands,14826,4663,6173,1111,,,,11950
17-03-2021,Andaman and Nicobar Islands,15489,4682,6280,1544,,,,12509
18-03-2021,Andaman and Nicobar Islands,16131,4717,6352,1876,,,,12948
19-03-2021,Andaman and Nicobar Islands,16612,4748,6478,2064,,,,13293
20-03-2021,Andaman and Nicobar Islands,17451,4806,6660,2383,,,,13852
21-03-2021,Andaman and Nicobar Islands,17478,4809,6669,2387,,,,13868
22-03-2021,Andaman and Nicobar Islands,18085,4839,6756,2729,,,,14327
23-03-2021,Andaman and Nicobar Islands,19121,4915,7009,3090,,,,15017
24-03-2021,Andaman and Nicobar Islands,19693,4936,7062,3246,,,,15247
25-03-2021,Andaman and Nicobar Islands,20318,4966,7169,3515,,,,15652
26-03-2021,Andaman and Nicobar Islands,20789,5005,7252,3674,,,,15933
27-03-2021,Andaman and Nicobar Islands,21356,5036,7360,3894,,,,16292
28-03-2021,Andaman and Nicobar Islands,21358,5036,7361,3894,,,,16293
29-03-2021,Andaman and Nicobar Islands,21357,5036,7360,3894,,,,16292
30-03-2021,Andaman and Nicobar Islands,21840,5070,7465,4164,,,,16701
31-03-2021,Andaman and Nicobar Islands,21938,5076,7495,4225,,,,16798
01-04-2021,Andaman and Nicobar Islands,22608,5123,7806,4504,,,,17435
02-04-2021,Andaman and Nicobar Islands,22738,5131,7901,4525,,,,17559
03-04-2021,Andaman and Nicobar Islands,23221,5147,8153,4696,,,,17998
04-04-2021,Andaman and Nicobar Islands,23901,5165,8580,4930,,,,18677
05-04-2021,Andaman and Nicobar Islands,24774,5171,9040,5286,,,,19499
06-04-2021,Andaman and Nicobar Islands,25766,5179,9556,5708,,,,20445
07-04-2021,Andaman and Nicobar Islands,27978,5191,10861,6577,,,,22631
08-04-2021,Andaman and Nicobar Islands,30766,5196,12522,7643,,,,25363
09-04-2021,Andaman and Nicobar Islands,33217,5209,13951,8536,,,,27698
10-04-2021,Andaman and Nicobar Islands,35433,5221,15264,9376,,,,29863
11-04-2021,Andaman and Nicobar Islands,37624,5234,16701,10075,,,,32012
12-04-2021,Andaman and Nicobar Islands,42285,5259,19448,11863,,,,36572
13-04-2021,Andaman and Nicobar Islands,48845,5287,23593,14131,,,,43013
14-04-2021,Andaman and Nicobar Islands,55595,5307,28136,16209,,,,49654
15-04-2021,Andaman and Nicobar Islands,60857,5347,31563,17866,,,,54778
16-04-2021,Andaman and Nicobar Islands,67662,5382,36179,19776,,,,61339
17-04-2021,Andaman and Nicobar Islands,74019,5456,40346,21647,,,,67451
18-04-2021,Andaman and Nicobar Islands,78153,5515,43012,22746,,,,71275
19-04-2021,Andaman and Nicobar Islands,83028,5598,45987,24088,,,,75675
20-04-2021,Andaman and Nicobar Islands,86910,5687,48255,25029,,,,78973
21-04-2021,Andaman and Nicobar Islands,89072,5736,49621,25542,,,,80901
22-04-2021,Andaman and Nicobar Islands,91833,5815,51167,26249,,,,83233
23-04-2021,Andaman and Nicobar Islands,94166,5878,52529,26791,,,,85201
24-04-2021,Andaman and Nicobar Islands,96093,5926,53689,27178,,,,86796
25-04-2021,Andaman and Nicobar Islands,97392,5945,54478,27439,,,,87865
26-04-2021,Andaman and Nicobar Islands,99109,5977,55456,27854,,,,89290
27-04-2021,Andaman and Nicobar Islands,100571,8547,53714,28190,,,,90454
28-04-2021,Andaman and Nicobar Islands,101770,8579,54314,28497,,,,91394
29-04-2021,Andaman and Nicobar Islands,102998,8621,55029,28766,,,,92417
30-04-2021,Andaman and Nicobar Islands,104374,8674,55730,29087,,,,93493
01-05-2021,Andaman and Nicobar Islands,105090,8713,56069,29218,,,,94002
02-05-2021,Andaman and Nicobar Islands,105285,8729,56119,29276,,,,94125
03-05-2021,Andaman and Nicobar Islands,106250,8782,56479,29371,,,,94633
04-05-2021,Andaman and Nicobar Islands,107018,8863,56745,29455,,,,95064
05-05-2021,Andaman and Nicobar Islands,107955,8938,56994,29567,,,,95500
06-05-2021,Andaman and Nicobar Islands,109060,9286,57252,29690,,,,96229
07-05-2021,Andaman and Nicobar Islands,110161,9680,57516,29773,,,,96970
08-05-2021,Andaman and Nicobar Islands,111168,9913,57886,29839,,,,97639
09-05-2021,Andaman and Nicobar Islands,111285,10016,57892,29839,,,,97748
10-05-2021,Andaman and Nicobar Islands,112403,10195,58235,30008,,,,98439
11-05-2021,Andaman and Nicobar Islands,113019,10278,58473,30093,,,,98845
12-05-2021,Andaman and Nicobar Islands,113622,10368,58695,30154,,,,99218
13-05-2021,Andaman and Nicobar Islands,114400,10404,58947,30249,,,,99602
14-05-2021,Andaman and Nicobar Islands,114498,10410,59027,30251,,,,99690
15-05-2021,Andaman and Nicobar Islands,115188,10447,59293,30316,,,,100058
16-05-2021,Andaman and Nicobar Islands,115188,10447,59293,30316,,,,100058
17-05-2021,Andaman and Nicobar Islands,115627,10560,59534,30396,,,,100492
18-05-2021,Andaman and Nicobar Islands,115911,10633,59702,30436,,,,100773
19-05-2021,Andaman and Nicobar Islands,116427,10987,59814,30474,,,,101277
20-05-2021,Andaman and Nicobar Islands,117180,11598,59923,30504,,,,102027
21-05-2021,Andaman and Nicobar Islands,117950,12260,60008,30525,,,,102795
22-05-2021,Andaman and Nicobar Islands,118761,12932,60115,30556,,,,103605
23-05-2021,Andaman and Nicobar Islands,119144,13301,60127,30558,,,,103988
24-05-2021,Andaman and Nicobar Islands,119595,13733,60143,30561,,,,104439
25-05-2021,Andaman and Nicobar Islands,120282,14372,60185,30565,,,,105124
26-05-2021,Andaman and Nicobar Islands,121091,15161,60203,30567,,,,105933
27-05-2021,Andaman and Nicobar Islands,121709,15726,60233,30586,,,,106548
28-05-2021,Andaman and Nicobar Islands,122466,16412,60293,30596,,,,107304
29-05-2021,Andaman and Nicobar Islands,123483,17279,60410,30625,,,,108317
30-05-2021,Andaman and Nicobar Islands,123725,17521,60410,30625,,,,108559
31-05-2021,Andaman and Nicobar Islands,124268,17959,60483,30642,,,,109087
01-06-2021,Andaman and Nicobar Islands,125007,18639,60525,30654,,,,109821
02-06-2021,Andaman and Nicobar Islands,125514,19072,60581,30667,,,,110323
03-06-2021,Andaman and Nicobar Islands,126200,19638,60670,30690,,,,111001
04-06-2021,Andaman and Nicobar Islands,126713,20079,60724,30700,,,,111506
05-06-2021,Andaman and Nicobar Islands,127194,20476,60777,30715,,,,111971
06-06-2021,Andaman and Nicobar Islands,127202,20484,60777,30715,,,,111979
07-06-2021,Andaman and Nicobar Islands,127759,20944,60828,30732,,,,112507
08-06-2021,Andaman and Nicobar Islands,128195,21285,60887,30742,,,,112917
09-06-2021,Andaman and Nicobar Islands,128498,21525,60930,30749,,,,113207
10-06-2021,Andaman and Nicobar Islands,129402,22365,60971,30759,,,,114098
11-06-2021,Andaman and Nicobar Islands,130173,23043,61029,30774,,,,114850
12-06-2021,Andaman and Nicobar Islands,131060,23841,61078,30785,,,,115708
13-06-2021,Andaman and Nicobar Islands,131063,23843,61079,30785,,,,115711
14-06-2021,Andaman and Nicobar Islands,132004,24693,61132,30803,,,,116632
15-06-2021,Andaman and Nicobar Islands,132939,25524,61193,30824,,,,117545
16-06-2021,Andaman and Nicobar Islands,133931,26423,61247,30837,,,,118511
17-06-2021,Andaman and Nicobar Islands,134897,27266,61325,30853,,,,119448
18-06-2021,Andaman and Nicobar Islands,135850,28148,61365,30865,,,,120382
19-06-2021,Andaman and Nicobar Islands,136707,28909,61413,30875,,,,121201
20-06-2021,Andaman and Nicobar Islands,136708,28910,61413,30875,,,,121202
21-06-2021,Andaman and Nicobar Islands,137495,29585,61478,30897,,,,121964
22-06-2021,Andaman and Nicobar Islands,140296,32184,61613,30928,,,,124729
23-06-2021,Andaman and Nicobar Islands,144234,35991,61688,30943,,,,128630
24-06-2021,Andaman and Nicobar Islands,149318,40711,61834,30979,,,,133533
16-03-2021,Andhra Pradesh,1234075,449861,294123,231493,,,,976078
17-03-2021,Andhra Pradesh,1380960,456352,332896,322740,,,,1112607
18-03-2021,Andhra Pradesh,1472043,463443,359378,370810,,,,1194255
19-03-2021,Andhra Pradesh,1569131,471592,389071,419652,,,,1280956
20-03-2021,Andhra Pradesh,1681001,480556,426536,474050,,,,1381802
21-03-2021,Andhra Pradesh,1689691,481919,429596,476906,,,,1389085
22-03-2021,Andhra Pradesh,1803338,489025,467683,536895,,,,1494286
23-03-2021,Andhra Pradesh,1939162,499489,515889,601710,,,,1617797
24-03-2021,Andhra Pradesh,2062333,508180,560161,660685,,,,1729748
25-03-2021,Andhra Pradesh,2211652,519359,614856,729605,,,,1864559
26-03-2021,Andhra Pradesh,2320613,527970,657492,774602,,,,1960827
27-03-2021,Andhra Pradesh,2451110,538183,709905,829386,,,,2078246
28-03-2021,Andhra Pradesh,2461015,538599,713244,833949,,,,2086565
29-03-2021,Andhra Pradesh,2527121,542208,741726,864814,,,,2149525
30-03-2021,Andhra Pradesh,2621769,549548,778264,905732,,,,2234331
31-03-2021,Andhra Pradesh,2725169,555848,819554,951824,,,,2328018
01-04-2021,Andhra Pradesh,2825721,560696,869086,990468,,,,2421043
02-04-2021,Andhra Pradesh,2898547,564687,906705,1015288,,,,2487480
03-04-2021,Andhra Pradesh,2986837,568441,952168,1045407,,,,2566814
04-04-2021,Andhra Pradesh,3047568,571565,985014,1064326,,,,2621707
05-04-2021,Andhra Pradesh,3142814,571890,1035803,1098306,,,,2706804
06-04-2021,Andhra Pradesh,3207917,572202,1070999,1120315,,,,2764322
07-04-2021,Andhra Pradesh,3352010,572851,1148111,1168563,,,,2890332
08-04-2021,Andhra Pradesh,3496367,573402,1229768,1216028,,,,3020007
09-04-2021,Andhra Pradesh,3571106,574582,1267493,1238183,,,,3081066
10-04-2021,Andhra Pradesh,3803237,593448,1384680,1302409,,,,3281351
11-04-2021,Andhra Pradesh,3892459,598424,1434553,1329131,,,,3362926
12-04-2021,Andhra Pradesh,3913669,599103,1445857,1334645,,,,3380423
13-04-2021,Andhra Pradesh,3918519,599131,1447980,1335825,,,,3383754
14-04-2021,Andhra Pradesh,4558756,621824,1796875,1553988,,,,3973533
15-04-2021,Andhra Pradesh,4597442,624216,1814781,1564058,,,,4003901
16-04-2021,Andhra Pradesh,4603722,624347,1816919,1565357,,,,4007469
17-04-2021,Andhra Pradesh,4607860,624345,1818406,1566340,,,,4009940
18-04-2021,Andhra Pradesh,4613016,624431,1820448,1567412,,,,4013140
19-04-2021,Andhra Pradesh,4756582,688483,1868126,1583016,,,,4140526
20-04-2021,Andhra Pradesh,4927355,721289,1910302,1602054,,,,4234572
21-04-2021,Andhra Pradesh,4968449,726757,1921889,1607607,,,,4257182
22-04-2021,Andhra Pradesh,5327886,734637,1953484,1647973,,,,4337021
23-04-2021,Andhra Pradesh,5554779,743348,2028790,1691548,,,,4464620
24-04-2021,Andhra Pradesh,5669867,749749,2077641,1714992,,,,4543318
25-04-2021,Andhra Pradesh,5678642,750308,2080282,1716446,,,,4547972
26-04-2021,Andhra Pradesh,5986083,763649,2213184,1783889,,,,4761686
27-04-2021,Andhra Pradesh,6177693,914789,2160119,1828146,,,,4904030
28-04-2021,Andhra Pradesh,6281949,918886,2191260,1843922,,,,4955046
29-04-2021,Andhra Pradesh,6353841,922169,2210737,1854667,,,,4988411
30-04-2021,Andhra Pradesh,6579034,936816,2283700,1890631,,,,5112011
01-05-2021,Andhra Pradesh,6694297,943270,2319814,1911011,,,,5174960
02-05-2021,Andhra Pradesh,6696325,938050,2326124,1911410,,,,5176393
03-05-2021,Andhra Pradesh,6732767,940743,2337772,1916527,,,,5195851
04-05-2021,Andhra Pradesh,6748028,941985,2342891,1918479,,,,5204180
05-05-2021,Andhra Pradesh,6947225,951034,2382276,1939059,,,,5273196
06-05-2021,Andhra Pradesh,7140106,956829,2422220,1965664,,,,5345545
07-05-2021,Andhra Pradesh,7255219,961496,2446772,1983963,,,,5393064
08-05-2021,Andhra Pradesh,7410800,965112,2470493,2000149,,,,5436592
09-05-2021,Andhra Pradesh,7425692,968554,2472762,2001228,,,,5443382
10-05-2021,Andhra Pradesh,7427778,968901,2472987,2001216,,,,5443951
11-05-2021,Andhra Pradesh,7463899,969206,2476832,2003984,,,,5450913
12-05-2021,Andhra Pradesh,7504394,969935,2481825,2007266,,,,5459958
13-05-2021,Andhra Pradesh,7551945,971497,2486993,2010602,,,,5470083
14-05-2021,Andhra Pradesh,7570886,972281,2489174,2012089,,,,5474544
15-05-2021,Andhra Pradesh,7651927,973918,2494640,2015088,,,,5484714
16-05-2021,Andhra Pradesh,7664356,974165,2496436,2016086,,,,5487757
17-05-2021,Andhra Pradesh,7731254,976296,2506893,2020669,,,,5504954
18-05-2021,Andhra Pradesh,7799705,977578,2515566,2024207,,,,5518465
19-05-2021,Andhra Pradesh,7835404,979478,2522612,2026658,,,,5529872
20-05-2021,Andhra Pradesh,7858242,981943,2528483,2028549,,,,5540108
21-05-2021,Andhra Pradesh,7893522,984699,2536292,2030978,,,,5553124
22-05-2021,Andhra Pradesh,7912356,986822,2543637,2032744,,,,5564360
23-05-2021,Andhra Pradesh,7916347,987150,2544409,2032984,,,,5565702
24-05-2021,Andhra Pradesh,8024687,993485,2603959,2059316,,,,5657964
25-05-2021,Andhra Pradesh,8166313,1008509,2688087,2093365,,,,5791183
26-05-2021,Andhra Pradesh,8461498,1028375,2874238,2173689,,,,6077585
27-05-2021,Andhra Pradesh,9041673,1052646,3241917,2350355,,,,6646298
28-05-2021,Andhra Pradesh,9489396,1074975,3532197,2468055,,,,7076650
29-05-2021,Andhra Pradesh,9756270,1088097,3664176,2521012,,,,7274735
30-05-2021,Andhra Pradesh,9772924,1089302,3673174,2524538,,,,7288465
31-05-2021,Andhra Pradesh,9868747,1099313,3715663,2539984,,,,7356423
01-06-2021,Andhra Pradesh,10083415,1118257,3846429,2587408,,,,7553586
02-06-2021,Andhra Pradesh,10243842,1144139,3932881,2617554,,,,7696078
03-06-2021,Andhra Pradesh,10341301,1158181,3988874,2638390,,,,7786969
04-06-2021,Andhra Pradesh,10708410,1196111,4224056,2719400,,,,8141170
05-06-2021,Andhra Pradesh,10803822,1219404,4274625,2735703,,,,8231348
06-06-2021,Andhra Pradesh,10869971,1226941,4314874,2750212,,,,8293652
07-06-2021,Andhra Pradesh,11013621,1257449,4392940,2777850,,,,8429887
08-06-2021,Andhra Pradesh,11059995,1275494,4411286,2783959,,,,8472406
09-06-2021,Andhra Pradesh,11234803,1329357,4493966,2812906,,,,8637923
10-06-2021,Andhra Pradesh,11496440,1450753,4591810,2847057,,,,8891341
11-06-2021,Andhra Pradesh,11696369,1561024,4654619,2868540,,,,9085932
12-06-2021,Andhra Pradesh,11877129,1649336,4715323,2890688,,,,9257127
13-06-2021,Andhra Pradesh,11958631,1693941,4740134,2899800,,,,9335665
14-06-2021,Andhra Pradesh,12319387,1880875,4858584,2942176,,,,9683451
15-06-2021,Andhra Pradesh,12406367,1929899,4883406,2950581,,,,9765707
16-06-2021,Andhra Pradesh,12439899,1950681,4890432,2952921,,,,9795862
17-06-2021,Andhra Pradesh,12462701,1967020,4894041,2954224,,,,9817124
18-06-2021,Andhra Pradesh,12487466,1982571,4898326,2955798,,,,9838546
19-06-2021,Andhra Pradesh,12503233,1993323,4899562,2956200,,,,9850955
20-06-2021,Andhra Pradesh,13940560,2541300,5499634,3158306,,,,11201229
21-06-2021,Andhra Pradesh,14011163,2574831,5523195,3165249,,,,11265333
22-06-2021,Andhra Pradesh,14058162,2597984,5536154,3169914,,,,11306134
23-06-2021,Andhra Pradesh,14091954,2615951,5541941,3171860,,,,11331864
24-06-2021,Andhra Pradesh,14404310,2750494,5629380,3204232,,,,11586263
16-03-2021,Arunachal Pradesh,63404,24107,18029,7495,,,,49653
17-03-2021,Arunachal Pradesh,63870,24124,18187,7745,,,,50078
18-03-2021,Arunachal Pradesh,67242,24783,19138,8568,,,,52511
19-03-2021,Arunachal Pradesh,69729,25101,19870,9180,,,,54173
20-03-2021,Arunachal Pradesh,71994,25572,20604,9720,,,,55919
